num,stop
273,Учкомбинат
274,Фабрика«КрасныйПеревал»
275,ФедоровскийСобор
276,ФилиалЯЗТА
277,Филиалавтобазы
278,Хлебобаза
279,Хлебозавод
280,Хлебозавод№2
281,Хутор
282,ЦНТИ
283,Чурилково
284,Шевелюха
285,Шевелюха-1
286,Шевелюха-2
287,Школа
288,Школамеханизации
289,Школа№17
290,Школа№26
291,Школа№29
292,Школа№30
293,Школа№46
294,Школа№47
295,Школа№48
296,Школа№50
297,Школа№51
298,Школа№56
299,Школа№59
300,Школа№88
301,Шпалозавод
302,Элеваторная
303,Юбилейнаяплощадь
304,Юныйтехник
305,ЯЗДА
306,ЯЗХМ
307,ЯМЗ
308,ЯШЗ
309,ЯблоневыйПосад
310,Яковлевское
311,ЯрославльГлавный
312,Яртехуглерод
